date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:28	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:26%20GMT	https://otaku-coin.com/common/images/bt_tg01.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bt_tg01.png	(from https://otaku-coin.com/)
02:07:28	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:26%20GMT	https://otaku-coin.com/common/images/obj_ba01.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_ba01.png	(from https://otaku-coin.com/)
02:07:28	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:27%20GMT	https://otaku-coin.com/common/images/obj_ba02.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_ba02.png	(from https://otaku-coin.com/)
02:07:30	831488/831488	---M--	200	added ('OK')	image/jpeg	etag:%223a23185a5fb044668174cf7eedb33da8%22	https://otaku-coin.com/common/images/bg.jpg	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/bg.jpg	(from https://otaku-coin.com/common/css/layout.css)
02:07:30	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:28%20GMT	https://otaku-coin.com/common/images/obj_0201.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_0201.png	(from https://otaku-coin.com/)
02:07:30	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:29%20GMT	https://otaku-coin.com/common/images/obj_plan.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_plan.png	(from https://otaku-coin.com/)
02:07:30	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:29%20GMT	https://otaku-coin.com/common/images/obj_image.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_image.png	(from https://otaku-coin.com/)
02:07:32	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:31%20GMT	https://otaku-coin.com/common/images/obj_ba03.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/obj_ba03.png	(from https://otaku-coin.com/)
02:07:32	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:31%20GMT	https://otaku-coin.com/common/images/ph_0301.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0301.png	(from https://otaku-coin.com/)
02:07:32	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Dec%202017%2017:07:31%20GMT	https://otaku-coin.com/common/images/ph_0302.png	/storage/emulated/0/HTTrack/Websites/OTKCOIN/otaku-coin.com/common/images/ph_0302.png	(from https://otaku-coin.com/)
